game_id,play_no,wp
401228910,33,0.814
401228910,34,0.876
401228910,35,0.855
401228910,36,0.86
401228910,37,0.878
401228910,38,0.857
401228910,39,0.877
401228910,40,0.89
401228910,41,0.879
401228910,42,0.859
401228910,43,0.828
401228910,44,0.899
401228910,45,0.893
401228910,46,0.89
401228910,47,0.889
401228910,48,0.906
401228910,49,0.917
401228910,50,0.905
401228910,51,0.92
401228910,52,0.929
401228910,53,0.914
401228910,54,0.915
401228910,55,0.933
401228910,56,0.883
401228910,57,0.797
401228910,58,0.824
401228910,59,0.839
401228910,60,0.823
401228910,61,0.854
401228910,62,0.86
401228910,63,0.831
401228910,64,0.802
401228910,65,0.715
401228910,66,0.585
401228910,67,0.691
401228910,68,0.88
401228910,69,0.868
401228910,70,0.859
401228910,71,0.853
401228910,72,0.915
401228910,73,0.828
401228910,74,0.176
401228910,75,0.186
401228910,76,0.191
401228910,77,0.117
401228910,78,0.046
401228910,79,0.0
401228884,0,0.657
401228884,1,0.614
401228884,2,0.653
401228884,3,0.686
401228884,4,0.662
401228884,5,0.686
401228884,6,0.65
401228884,7,0.622
401228884,8,0.587
401228884,9,0.62
401228884,10,0.56
401228884,11,0.55
401228884,12,0.578
401228884,13,0.655
401228884,14,0.683
401228884,15,0.608
401228884,16,0.617
401228884,17,0.797
401228884,18,0.807
401228884,19,0.793
401228884,20,0.814
401228884,21,0.829
401228884,22,0.82
401228884,23,0.803
401228884,24,0.773
401228884,25,0.612
401228884,26,0.663
401228884,27,0.634
401228884,28,0.703
401228884,29,0.755
401228884,30,0.727
401228884,31,0.703
401228884,32,0.711
401228884,33,0.728
401228884,34,0.61
401228884,35,0.597
401228884,36,0.628
401228884,37,0.66
401228884,38,0.614
401228884,39,0.608
401228884,40,0.719
401228884,41,0.696
401228884,42,0.723
401228884,43,0.741
401228884,44,0.75
401228884,45,0.779
401228884,46,0.741
401228884,47,0.813
401228884,48,0.677
401228884,49,0.644
401228884,50,0.372
401228884,51,0.43
401228884,52,0.516
401228884,53,0.572
401228884,54,0.532
401228884,55,0.554
401228884,56,0.787
401228884,57,0.862
401228884,58,0.871
401228884,59,0.84
401228884,60,0.801
401228884,61,0.745
401228884,62,0.636
401228884,63,0.727
401228884,64,0.828
401228884,65,0.821
401228884,66,0.88
401228884,67,0.865
401228884,68,0.876
401228884,69,0.857
401228884,70,0.838
401228884,71,0.886
401228884,72,0.831
401228884,73,0.893
401228884,74,0.948
401228884,75,0.96
401228884,76,0.954
401228884,77,0.959
401228884,78,0.951
401228884,79,0.982
401228884,80,0.998
401228884,81,0.998
